timestamp,recordtime,lat,long,alt,speed,course,verticalAccuracy,horizontalAccuracy,locTimeStamp,accelerationX,accelerationY,accelerationZ,HeadingX,HeadingY,HeadingZ,TrueHeading,MagneticHeading,HeadingAccuracy,RotationX,RotationY,RotationZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ
36,0.36,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,-0.008544922,0.1123657,-1.02713,24.96778,13.78244,-22.07669,281.8892,294.2492,25,-0.007278685,-0.04734594,-0.05246188,0.3864441,-0.01619579,-0.08048528,0.009411973,-0.05758117,0.003401775,0.03988533,-0.03240953,0.04959534
37,0.37,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,-0.008544922,0.1123657,-1.02713,24.96778,13.78244,-22.07669,281.8892,294.2492,25,-0.007278685,-0.04734594,-0.05246188,0.3864441,-0.01619579,-0.08048528,0.009411973,-0.05758117,0.003401775,0.03988533,-0.03240953,0.04959534
38,0.38,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,-0.008544922,0.1123657,-1.02713,24.96778,13.78244,-22.07669,281.8892,294.2492,25,-0.007278685,-0.04734594,-0.05246188,0.3864441,-0.01619579,-0.08048528,0.009411973,-0.05758117,0.003401775,0.03988533,-0.03240953,0.04959534
39,0.39,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,-0.02774048,0.01599121,-0.9981842,24.82625,13.49934,-22.07669,281.8969,294.2569,25,0.009885387,-0.04939338,-0.05229729,0.3866015,-0.01713422,-0.08058425,-0.00603701,-0.01842645,0.00659905,0.008532858,0.03186866,-0.03052159
40,0.4,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,-0.0320282,0.06962585,-1.018646,24.9324,13.39317,-22.11078,281.8998,294.2598,25,-0.009617474,-0.05113056,-0.05736183,0.3867367,-0.01773815,-0.0805078,0.00157485,-0.03183478,0.004328385,-0.01006071,-0.06442965,-0.001580015
41,0.41,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,-0.0320282,0.06962585,-1.018646,24.9324,13.39317,-22.11078,281.8998,294.2598,25,-0.009617474,-0.05113056,-0.05736183,0.3867367,-0.01773815,-0.0805078,0.00157485,-0.03183478,0.004328385,-0.01006071,-0.06442965,-0.001580015
42,0.42,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,-0.06417847,0.06930542,-0.9590759,24.72012,13.53472,-22.24719,281.9078,294.2678,25,0.002206962,-0.03106364,-0.0537583,0.386761,-0.01807721,-0.08060374,-0.01190314,-0.02970776,0.001737001,-0.01401067,-0.01089064,-0.02205582
43,0.43,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,-0.06965637,0.07685852,-0.9230804,24.72012,13.53472,-22.24719,281.9078,294.2678,25,0.002113218,-0.02612614,-0.05380411,0.3868101,-0.01817983,-0.08069153,-7.869711E-005,-0.009640891,0.005340395,-0.04131331,0.01728114,-0.02975518
44,0.44,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,-0.001907349,0.08395386,-0.9812164,24.43705,13.39317,-22.17905,281.9166,294.2766,25,0.0007297061,-0.02239985,-0.04156342,0.3868816,-0.01824452,-0.08067455,-0.0001724354,-0.004703436,0.00529446,-0.04599429,-0.01128165,0.03750576
45,0.45,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,-0.001907349,0.08395386,-0.9812164,24.43705,13.39317,-22.17905,281.9166,294.2766,25,0.0007297061,-0.02239985,-0.04156342,0.3868816,-0.01824452,-0.08067455,-0.0001724354,-0.004703436,0.00529446,-0.04599429,-0.01128165,0.03750576
46,0.46,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,-0.001907349,0.08395386,-0.9812164,24.43705,13.39317,-22.17905,281.9166,294.2766,25,0.0007297061,-0.02239985,-0.04156342,0.3868816,-0.01824452,-0.08067455,-0.0001724354,-0.004703436,0.00529446,-0.04599429,-0.01128165,0.03750576
47,0.47,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,-0.02081299,0.03982544,-0.9774628,25.00317,13.3224,-22.31546,281.9173,294.2773,25,-0.052872,0.03183702,-0.04619945,0.3872672,-0.01762517,-0.08087666,-0.001598504,0.0002712907,0.01998076,0.0156593,0.003165337,0.01536002
48,0.48,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,-0.05084229,-0.01062012,-0.9862366,25.357,13.53473,-22.52002,281.918,294.278,25,-0.03084979,0.03114966,-0.04477733,0.387509,-0.01705034,-0.08193855,-0.05515866,0.05326304,0.01289889,0.01365063,0.002518952,0.03913311
49,0.49,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,-0.08465576,0.04130554,-0.9483185,25.357,13.53473,-22.52002,281.918,294.278,25,-0.03084979,0.03114966,-0.04477733,0.387509,-0.01705034,-0.08193855,-0.05515866,0.05326304,0.01289889,0.01365063,0.002518952,0.03913311
50,0.5,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,-0.04582214,0.05976868,-0.9790039,25.28624,13.25163,-22.52002,281.9129,294.2729,25,-0.06656624,0.04629719,-0.05136226,0.3876898,-0.01642068,-0.08236792,-0.03313644,0.05257563,0.01432089,-0.00444871,-0.04244937,0.01901255
51,0.51,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,-0.09309387,0.04566956,-0.973465,25.28624,13.25163,-22.52002,281.9129,294.2729,25,-0.0653308,0.04754036,-0.05627766,0.3876536,-0.01710144,-0.07947507,-0.06883299,0.06771563,0.007735466,-0.06760914,-0.03808589,0.04837927
52,0.52,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,-0.06817627,0.05331421,-0.9066925,25.357,12.82697,-22.24719,281.899,294.259,25,-0.06694122,0.06604719,-0.05154548,0.3876594,-0.01638032,-0.08018701,-0.06759755,0.06895874,0.00281994,-0.02949518,-0.02033243,0.01764911
53,0.53,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,-0.06817627,0.05331421,-0.9066925,25.357,12.82697,-22.24719,281.899,294.259,25,-0.02018996,0.05237293,-0.05225202,0.3876594,-0.01638032,-0.08018701,-0.06759755,0.06895874,0.00281994,-0.02949518,-0.02033243,0.01764911
54,0.54,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,-0.06817627,0.05331421,-0.9066925,25.357,12.82697,-22.24719,281.899,294.259,25,-0.02018996,0.05237293,-0.05225202,0.3876594,-0.01638032,-0.08018701,-0.06759755,0.06895874,0.00281994,-0.02949518,-0.02033243,0.01764911
55,0.55,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,-0.06817627,0.05331421,-0.9066925,25.357,12.82697,-22.24719,281.899,294.259,25,-0.02018996,0.05237293,-0.05225202,0.3876594,-0.01638032,-0.08018701,-0.06759755,0.06895874,0.00281994,-0.02949518,-0.02033243,0.01764911
56,0.56,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,-0.01464844,0.0846405,-1.037216,25.85236,12.4023,-22.52002,281.8708,294.2308,25,-0.06013391,0.02917173,-0.04992282,0.3877036,-0.01555147,-0.08066905,-0.00861862,0.05435426,0.005910503,-0.02989462,-0.003936682,0.03730742
57,0.57,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,0.003662109,0.06481934,-1.040619,25.53391,12.57925,-22.62238,281.8497,294.2097,25,-0.02695439,0.02256203,-0.05326642,0.3877891,-0.01500049,-0.08122692,-0.06239583,0.05057732,0.009173543,-0.01828318,0.03583626,-0.01975139
58,0.58,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,0.02471924,0.04753113,-1.013153,25.53391,12.57925,-22.62238,281.8497,294.2097,25,0.001621066,-0.0002042645,-0.05404459,0.3877891,-0.01500049,-0.08122692,-0.06239583,0.05057732,0.009173543,-0.01828318,0.03583626,-0.01975139
59,0.59,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,0.0357666,0.07809448,-0.9828796,25.357,12.54386,-22.86108,281.8299,294.1899,25,0.007898403,-0.008694422,-0.05391383,0.3879129,-0.01410248,-0.08174767,-0.0006408809,0.02120141,0.005051523,0.01771703,-0.01683731,-0.04405748
60,0.6,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,0.03158569,0.1038361,-1.087585,25.357,12.54386,-22.86108,281.8299,294.1899,25,-0.002111887,0.002184857,-0.05164082,0.3879564,-0.01396162,-0.08170035,0.005636461,0.01271121,0.005182157,0.03863383,-0.03407837,-0.01658583
61,0.61,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,0.03158569,0.1038361,-1.087585,25.357,12.4023,-23.54312,281.8053,294.1653,25,-0.002111887,0.002184857,-0.05164082,0.3879564,-0.01396162,-0.08170035,0.005636461,0.01271121,0.005182157,0.03863383,-0.03407837,-0.01658583
62,0.62,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,0.03158569,0.1038361,-1.087585,25.357,12.4023,-23.54312,281.8053,294.1653,25,-0.002111887,0.002184857,-0.05164082,0.3879564,-0.01396162,-0.08170035,0.005636461,0.01271121,0.005182157,0.03863383,-0.03407837,-0.01658583
63,0.63,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,-0.06910706,0.0458374,-0.9434967,25.78159,12.6854,-23.81598,281.7836,294.1436,25,0.02127733,-0.004660266,-0.05383687,0.3882194,-0.01185149,-0.08236624,-0.006818276,0.02475751,0.003738086,0.009003416,0.04350506,-0.07667184
64,0.64,40.6833,-75.28828,108.6083,21.53,271.1804,6,10,1422118166,-0.09963989,0.06547546,-0.9465179,25.78159,12.6854,-23.81598,281.7836,294.1436,25,0.03293958,-0.03529141,-0.06328762,0.3882512,-0.01170273,-0.08223267,0.01901253,0.01675413,0.005259154,-0.02988676,0.01246447,0.01313886
